id,rollno,year_of_joining,year_of_graduation,learner_code,institution_code,branch_code
1423,"11['N', 'q', 'H']658",2021,2025,940,21,38
1424,"40['f', 'a', 'w']9",2018,2022,161,4,19
1425,"37['G', 'F', 'T']739",2019,2023,947,31,11
1426,"6['j', 'K', 'i']571",2018,2022,12,25,27
1427,"78['u', 's', 'W']533",2019,2023,966,33,1
1428,"85['z', 'S', 'c']667",2015,2019,307,38,34
1429,"68['m', 'n', 'm']63",2021,2025,23,42,31
1430,"93['P', 'u', 'R']46",2015,2019,351,40,30
1431,"58['B', 'c', 't']999",2020,2024,192,48,2
1432,"4['O', 'I', 'S']952",2015,2019,475,50,1
1433,"30['N', 'S', 'U']497",2021,2025,278,2,37
1434,"84['f', 'S', 'F']360",2021,2025,887,23,22
1435,"24['S', 'm', 'D']66",2017,2021,683,43,16
1436,"9['e', 'W', 'P']46",2017,2021,63,20,23
1437,"59['l', 'G', 'v']243",2021,2025,770,18,21
1438,"72['t', 'r', 'T']922",2017,2021,95,13,24
1439,"2['H', 'L', 'g']494",2017,2021,77,7,36
1440,"65['q', 'Z', 'b']429",2021,2025,301,20,31
1441,"17['q', 'O', 'V']250",2015,2019,281,42,4
1442,"8['M', 'i', 'B']33",2018,2022,318,43,38
1443,"39['F', 'w', 'K']170",2018,2022,642,33,40
1444,"28['R', 'w', 'P']319",2016,2020,194,42,2
1445,"14['y', 'R', 'a']889",2018,2022,650,31,8
1446,"89['a', 'l', 'P']834",2022,2026,607,2,24
1447,"12['G', 'r', 'z']765",2016,2020,22,6,13
1448,"97['x', 'E', 'c']935",2016,2020,207,43,19
1449,"3['b', 'Q', 'e']911",2018,2022,921,16,28
1450,"53['n', 'C', 'g']147",2021,2025,478,36,8
1451,"27['Q', 'M', 'Y']786",2017,2021,887,3,23
1452,"89['t', 't', 'l']780",2017,2021,372,4,31
1453,"49['F', 'c', 'z']227",2022,2026,901,36,37
1454,"95['t', 'O', 'C']153",2021,2025,104,36,12
1455,"50['h', 'Y', 'b']888",2018,2022,43,30,5
1456,"71['h', 'g', 'P']216",2021,2025,492,20,21
1457,"5['p', 'd', 'k']90",2018,2022,616,50,32
1458,"76['n', 'g', 'j']205",2017,2021,221,5,17
1459,"90['n', 'l', 'z']498",2017,2021,539,13,16
1460,"43['q', 'I', 's']149",2020,2024,789,9,40
1461,"41['v', 'i', 'e']405",2016,2020,347,8,22
1462,"89['m', 'B', 'k']437",2019,2023,644,45,7
1463,"20['F', 'V', 'B']846",2015,2019,269,47,29
1464,"69['X', 'q', 'G']712",2017,2021,523,14,39
1465,"17['t', 'T', 'W']46",2016,2020,463,13,24
1466,"93['Q', 'q', 'l']23",2018,2022,61,39,38
1467,"12['G', 'n', 'r']781",2017,2021,681,5,23
1468,"51['U', 't', 'm']218",2019,2023,897,23,36
1469,"92['a', 'X', 'v']539",2018,2022,817,19,3
1470,"43['K', 'b', 'e']622",2016,2020,308,31,5
1471,"23['I', 'L', 'F']990",2019,2023,480,41,13
1472,"81['f', 'v', 'F']164",2015,2019,72,8,39
1473,"68['L', 'U', 'D']463",2015,2019,95,39,28
1474,"23['m', 'k', 'Y']158",2019,2023,233,50,33
1475,"52['t', 'V', 'N']121",2022,2026,240,36,11
1476,"56['G', 'D', 'E']209",2022,2026,23,7,9
1477,"85['y', 'l', 'I']969",2022,2026,970,45,34
1478,"40['t', 'W', 'Q']479",2020,2024,316,4,20
1479,"52['Q', 'v', 'O']440",2022,2026,309,31,1
1480,"33['S', 'Z', 'W']928",2015,2019,5,26,11
1481,"10['R', 'g', 'b']225",2021,2025,713,21,22
1482,"83['j', 'v', 'Q']551",2016,2020,371,37,32
1483,"13['R', 'V', 's']724",2018,2022,646,16,37
1484,"12['b', 's', 'L']482",2018,2022,770,34,25
1485,"1['q', 'y', 'J']733",2021,2025,658,49,28
1486,"34['M', 'H', 'g']224",2018,2022,816,8,24
1487,"99['Y', 's', 'N']355",2016,2020,322,45,7
1488,"43['l', 's', 's']394",2018,2022,349,39,35
1489,"59['j', 'T', 'd']179",2015,2019,286,24,20
1490,"0['z', 'v', 'K']887",2016,2020,70,29,10
1491,"41['Y', 'a', 'N']458",2021,2025,719,39,19
1492,"29['B', 'C', 'T']603",2018,2022,775,35,35
1493,"89['C', 'D', 'E']775",2015,2019,568,20,13
1494,"94['h', 'K', 'N']778",2015,2019,452,5,6
1495,"80['L', 'g', 'p']988",2021,2025,842,29,4
1496,"6['p', 'Z', 'w']14",2017,2021,830,25,20
1497,"39['u', 'H', 'a']671",2017,2021,865,4,4
1498,"69['f', 'm', 'q']601",2022,2026,339,30,31
1499,"94['H', 'O', 'k']31",2015,2019,392,11,36
1500,"82['l', 'l', 'K']516",2022,2026,598,3,25
